Ship,Sunk date,Notes,Coordinates,Year
City of Sheboygan,1925,Sank in a storm off Amherst Island with the loss of 5 people.,,1925
Comet,1861,"A paddlewheeler that sunk in a collision with the schooner Exchange' off Nine Mile Point, with the loss of 2 lives.",,1861
Cornwall,1931,A paddlewheeler scuttled in the Amherst Island graveyard.,,1931
Effie Mae,1993,A charter boat that was scuttled beside the Aloha for a diving attraction,,1993
George A. Marsh,17-Aug-17,A schooner that was sunk during a heavy gale off Pigeon Island. Twelve of fourteen crew and passengers died.[33],,2017
USS Hamilton,8 August 1813,"A US Navy schooner that sunk in a squall off Fourteen Mile Creek, Oakville. A US sister ship the Scourge sank in the same squall.",,1813
Munson,30 April 1890,"A dredger that sank in 4 minutes due to leaking plank, off Lemoine Point.[33]",,1890
Nisbet Grammer,26-May-26,A lake freighter that sank in a collision with the Dalwarnic off Somerset.,,1926
SS Noronic,17-Sep-49,"A Great Lakes cruise ship that burned and sank at Toronto dock, with over 100 passengers killed.",,1949
Olive Branch,30 September 1880,Schooner,,1880
Oliver Mowat,9-Jan-21,Schooner,,2021
HMS Ontario,31 October 1780,"A British 22-gun brig-sloop sunk in a storm on Lake Ontario, discovered in 2008. The oldest shipwreck ever found on the Great Lakes.",,1780
St. Peter,27 October 1898,A schooner that was wrecked near Pultneyville.,,1898
R.H. Rae,8 April 1858,Schooner.,,1858
Ridgetown,1974,"The retired lake freighter was sunk as a break water off Mississauga, Ontario.",,1974
HMS Speedy,8 October 1804,"A schooner that sank off Brighton, Lake Ontario.",,1804
USS Sylph,1823,A schooner that served in the War of 1812.,,1823
HMS Toronto,1811,"A schooner that sank off Hanlan's Point, Toronto Islands, Lake Ontario.",,1811
William Jamieson,15-May-23,Schooner.,,1923
Wolfe Islander II,21-Sep-85,"Car ferry scuttled to provide scuba attraction off Dawson's Point, Wolfe Island",,1985
"The Henry B. Smith was an American bulk freighter that foundered in the Great Lakes Storm of 1913 near Marquette, Michigan. Her wreck was discovered in 2013 by a team of divers led by Jerry Eliason.",3-May-11,4-Jun-47,,2011
Alva,25 July 1892,A luxury yacht that was rammed in fog by the steamer H. F. Dimock off Chatham.,,1892
Aransas,7-May-05,"A passenger steamer that collided with the schooner barge Glendower in fog, off Chatham.",,2005
USS Bancroft,Jul-45,A Clemson-class destroyer that sank in a collision off Cape Cod.,,1945
Dixie Sword,12-Feb-42,"A cargo ship that foundered in a storm off Monomoy Island, and is thought to have been torpedoed.",,1942
Emmy Rose,23-Nov-20,"An 82-foot (25 m) long fishing vessel, lost in a storm about 20 miles (32 km) northeast of Provincetown, Massachusetts with four crew members aboard, all presumed deceased.[2][3]",,2020
General Greene,6-Mar-60,A USCG Cutter that was blown onto a beach at Sandwich while disabled in storm.,,1960
Horatio Hall,10-Mar-09,"A steamship that collided in fog with the freighter H. F. Dimock, 3 miles east of Chatham.",,2009
Kate Harding,30 November 1892,"A barque that was beached in a storm, near Cape Cod Light.",,1892
Angela,4-Mar-71,A cement barge that broke its towline in a storm and grounded on a reef off Westport.,,1971
Colonel William B. Cowin,17-Dec-41,A ferry that struck Hens and Chickens Reef off Westport and sank quickly.,,1941
Hilda Garston,20-Feb-61,A dredger that struck a reef off Westport.,,1961
USS Yankee,23-Sep-08,A steamboat that sank in Buzzards Bay while under tow.,,2008
Ardandhu,23-Jan-00,A cargo ship that collided in fog with the steamer Herman Winter in Vineyard Sound.,,2000
SS City of Columbus,18 January 1884,"A steamboat that ran aground on Devil's Bridge, off Aquinnah.",,1884
Dynafuel,15-Nov-63,A tanker that collided with Norwegian freighter Fernview northwest of Pasque Island.,,1963
Herman Winter,7-Mar-44,"A steamship that was stranded on Devils Bridge reef, off Martha's Vineyard.",,1944
John S. Dwight,6-Apr-23,A rum runner that was scuttled south of Nashawena Island.,,1923
Leonardo,24-Nov-19,"A 57-foot scallop fishing vessel that capsized and sank during a powerful storm off the coast of Martha's Vineyard with four crew members aboard. Only one survivor was found, and the other three are presumed deceased.[4][5][6]",,2019
Mertie B. Crowley,23-Jan-10,"A schooner that ran aground on Wasque Shoal, off Martha's Vineyard.",,2010
nantucket,7 August 1859,A whaler that was wrecked on Nashawena Island.,,1859
USS Valor,29-Jun-44,An Accentor-class minesweeper sunk by USS Richard W. Suesens off Cuttyhunk.,,1944
Ada K. Damon,26-Dec-09,"A Grand Banks schooner that wrecked on Crane Beach in Ipswich, Massachusetts.",,2009
USS Albert Gallatin,6 January 1892,A cutter that grounded on Boo Hoo Ledge off Manchester.,,1892
Alice M. Colburn,3-Jan-23,A schooner that ran aground and broke up in a storm off Manchester.,,1923
Alma A. E. Holmes,10-Oct-14,A schooner that collided with the steamer Belfast off Marblehead.,42°26′6″N 70°44′54″W﻿ / ﻿42.43500°N 70.74833°W﻿ / 42.43500; -70.74833﻿ (Alma A. E,2014
California,15-Sep-55,A fishing trawler that ran aground on a ledge off Rockport.,,1955
Charles S. Haight,1946,A cargo ship that was stranded on a ledge off Rockport.,,1946
Chelsea,10-Feb-57,A tanker that was grounded on the Sandy Bay Breakwater northeast of Thatcher Island.,,1957
Chester A. Poling,10-Jan-77,"An oil tanker that broke in half in a storm, southwest of Eastern Point Light.",,1977
Edward Rich,30 August 1899,A schooner that struck the Sandy Bay Breakwater off Rockport in fog.,42°40′39″N 70°35′25″W﻿ / ﻿42.67750°N 70.59028°W﻿ / 42.67750; -70.59028﻿ (E,1899
Ellenora Van Dusen,20-Sep-00,A schooner that caught fire and sank in Gloucester Harbor.,,2000
Frank A. Palmer,17-Dec-02,A schooner that collided with the Louise B. Crary off Gloucester.,,2002
USS Grouse,21-Sep-63,A YMS-1-class minesweeper that ran aground off Rockport.,,1963
Herbert,5-Aug-24,A lighter that was rammed in fog by the steamer City of Gloucester while at anchor off Nahant.,,1924
Joffre,9-Aug-47,A schooner that caught fire and sank off Gloucester. The wreck was discovered in 2006.,,1947
Louise B. Crary,1902,A schooner that collided with the Frank A. Palmer off Gloucester.,,1902
USS New Hampshire,26-Jul-22,"A training ship that caught fire and sank in the Hudson River on 23 May 1921. She was raised and sold for scrap, but caught fire again and sank while under tow off Manchester.",,2022
USS Nezinscot,11-Aug-07,"The navy tug was steaming from Portsmouth to Boston carrying a cargo of chains, anchors and search light equipment for the USS Missouri. She capsized and sank when a deck load shifted in heavy seas off Cape Ann. Of the 9 person crew, there were 4 fatalities",,2007
Nina T,Sep-97,A fishing trawler that was scuttled off Gloucester.,,1997
Northern Voyager,1997,"A factory ship that foundered during sea trials after refit, 2.5 miles east of Eastern Point Light.",,1997
Portland,27 November 1898,A steamship that sank off Cape Ann in the Portland Gale.,,1898
Alice M. Lawrence,5-Dec-14,"A schooner that was grounded on Tuckernuck Shoal, in nantucket Sound.  The vessel grounded upon the French Van Gilder (see below).",,2014
MV Argo Merchant,Dec-76,"An oil tanker that ran aground 25 miles southeast of nantucket, Massachusetts, causing an oil spill.",,1976
Unnamed crane barge,1-Nov-63,A crane barge that foundered in nantucket Sound.,,1963
Edward E. Briry,15-Dec-17,A schooner that foundered in a gale 6 miles northeast of Great Point Light.,,2017
Fort Mercer,18-Feb-52,A tanker that broke in half in heavy seas southeast of nantucket.,,1952
French Van Gilder,29 March 1885,A schooner that was grounded on Tuckernuck Shoal in nantucket Sound.,,1885
Jennie French Potter,18-May-09,A schooner that was grounded on Halfmoon Shoal in nantucket Sound.,,2009
Kershaw,1-Jun-28,A cargo ship that collided with the liner President Garfield northeast of East Chop Light.,,1928
LV-117,15-May-34,A lightvessel that was rammed by RMS Olympic off nantucket.,,1934
LV-58,11-Dec-05,A lightvessel that started to leak and sank while being towed off nantucket.,,2005
SS North American,4-Sep-67,A steamboat that sank under tow off nantucket.,,1967
Ann,28 January 1805,"A brig that was drove ashore at Duxbury Beach in the Blizzard of 1805. ""Loss of Brig Ann. A gentleman, arrived in town [Boston], last evening from Duxbury, informs, that the brig Ann, Capt. Lathrop, was drove on shore, at Duxbury Beach, on Monday night last, about 11 o'clock. The crew got on shore safe, and it is expected the cargo will be saved. The Ann is owned by Mr. William Parsons, of this town [Boston]. Capt Lothrop, informs, that she saw a brig on shore at Race Point, [Provincetown] as he passed that place, but could not understand who she was.""[7]",,1805
Ceres,28 January 1805,"A ship that went shore on Salt House Beach off Marshfield and Duxbury in the Blizzard of 1805. ""A new ship went ashore on Salt House Beach, a few hours before the loss of the Hibernia; this intelligence is corroborated by Mr. Payne, the surviving mate of the above vessel, who stated to our informant, that he saw her driving towards the shore, and that she is the Ceres, Capt. Sampson, who sailed in company with the Hibernia, from this place, for Charleston. No further particulars of the situation of the ship or crew have been received.""[7]",,1805
Columbia,March 1792,"A ship that was stranded on High Pines, a section of Duxbury beach off the Gurnet. ""In March 1792, the ship Columbia, of three hundred tons, of Portland, Capt. Isaac Chauncy, was stranded on the beach at the High Pines, and fourteen men lost, and two, the second mate and a boy, were saved.""[8]",,1792
Baleen,1-Nov-75,"A tug that foundered in Boston Harbor, northeast of The Graves Light, while in tow after a fire on board.",,1975
City of Salisbury,22-Apr-38,A cargo ship that struck a ledge in fog and broke up in Boston Harbor.,,1938
Coyote,1932,A steamboat that was scuttled outside Boston Harbor.,,1932
Davis Palmer,26-Dec-09,A schooner that struck Graves Ledge in Boston Harbor.,,2009
Kiowa,26-Dec-03,"A cargo ship that was rammed by the steamer Admiral Dewy in a snowstorm, while anchored southeast of Boston Light.",,2003
Mary E. O'Hara,21-Jan-41,A fishing vessel that collided with the barge Winifred Sheridan in Boston Harbor.,42°23′00″N 70°55′00″W﻿ / ﻿42.38333°N 70.91667°W﻿ / 42.38333; -70.91667﻿ (Mary E,1941
Maritana,3 November 1861,"991-ton Maritana of Providence, Rhode Island, was a commercial vessel, which accidentally rammed Shag Rocks, Boston Harbor, in bad weather, and was torn apart by the waves.",,1861
USS Aeolus,Aug-88,Sunk as an artificial reef.,,1988
SS Allan Jackson,18-Jan-42,American tanker; torpedoed off Hatteras by U-66.[2],,1942
Altoona,22 October 1878,Ran aground at Cape Hatteras.,,1878
MV Amerikaland,3-Feb-42,Swedish freighter; torpedoed off Cape Hatteras by U-106.[3],,1942
CSS Appomattox,10 February 1862,Steamboat that was scuttled to prevent capture near Elizabeth City.,,1862
SS Ario,15-Mar-42,Torpedoed off Cape Lookout by U-158.[4],,1942
SS Ashkhabad,29-Apr-42,Soviet tanker; torpedoed by U-402 off Cape Lookout.[5],,1942
SS Arabutan,7-Mar-42,Brazilian freighter; torpedoed off Hatteras by U-155.[4],,1942
USS Aster,7 October 1864,Ran aground at Kure Beach.[6],,1864
USS Atik,26-Mar-42,Q-ship; torpedoed by U-123.[7],,1942
Atlas,9-Apr-42,American tanker; torpedoed off Cape Lookout by U-552.[8],,1942
MV Australia,16-Mar-42,American tanker; torpedoed off Cape Hatteras by U-332.[9],,1942
USS Bainbridge,21 August 1863,Capsized off Cape Hatteras.,,1863
USS Bazely,9 December 1864,Sank in Roanoke River near Jamseville after striking a mine while attempting to aid USS Otsego.,,1864
HMT Bedfordshire,11-May-42,Anti-submarine trawler torpedoed by German submarine U-588 off the coast of Ocracoke Island.[10],,1942
USCGC Bedloe,Sep-44,Formerly USCGC Antietam; sank off Oregon Inlet in the 1944 Great Atlantic Hurricane.[11],,1944
CSS Bendigo,January 1864,Iron-hulled sidewheel blockade runner; ran aground in Lockwood's Folly Inlet.[6],,1864
CSS Black Warrior,20 February 1859,Burned at Elizabeth City.,,1859
MV Bluefields,15-Jul-42,Nicaraguan freighter; torpedoed off Cape Hatteras by U-576.[12][13],,1942
Bounty,29-Oct-12,Replica of the original HMS Bounty. Sank during Hurricane Sandy with 16 people aboard.,,2012
British Splendour,7-Apr-42,British tanker; torpedoed by U-552 off the coast of Ocracoke Island.[14][15],,1942
SS Buarque,15-Feb-42,Brazilian passenger and cargo ship; torpedoed by U-432.[16],,1942
SS Byron D. Benson,4-May-42,Tanker; torpedoed by U-552.[17],,1942
Carroll A. Deering,21-Jan,"Five-masted commercial schooner that ran aground in late January off the coast of Cape Hatteras. When the wreck was discovered and boarded, it was found to have been completely abandoned. Its crew were never heard from again.",,2021
SS Caribsea,11-Mar-42,Torpedoed by U-158 off Cape Lookout.[18],,1942
SS Carl Gerhard,23-Sep-29,"Ran aground off Kill Devil Hills, North Carolina.",,1929
SS Cassimer,26-Feb-42,Sank following collision with SS Lara off Cape Lookout.,,1942
SV Catherine M. Monahan,24-Aug-10,Four-masted schooner; foundered after running aground on Diamond Shoals.,,2010
SS Central America,12 September 1857,Sidewheel steamer carrying 10 tons of gold when it was caught up in a Category 2 hurricane.,,1857
SS Chilore,15-Jul-42,Freighter; torpedoed by U-576 and subsequently ran aground off Cape Hatteras.[19],,1942
USS Chopper,21-Jul-76,"Sunk off Cape Hatteras, while being rigged as a tethered underwater target.",,1976
SS Ciltvaira,19-Jan-42,Latvian freighter; torpedoed off Nags Head.[20],,1942
City of Atlanta,19-Jan-42,American freighter; torpedoed by U-123.[2],,1942
City of Houston,23 October 1878,Foundered off Frying Pan Shoals in a storm.,,1878
USS Columbia,14 January 1863,Ran aground off Masonboro Inlet.,,1863
USS Comte de Grasse,7-Jun-06,"Sunk as a target, along with her sister ship, Stump.",,2006
CSS Curlew,7 February 1862,Sunk in battle off Roanoke Island.,,1862
USS Cythera,2-May-42,Patrol boat that was torpedoed by U-402.[21],,1942
USS Dionysus,1978,Sunk off Pea Island as an artificial reef.,,1978
SS Dixie Arrow,26-Mar-42,American tanker; torpedoed off Cape Hatteras by U-71.[22],,1942
CSS Ellis,24 November 1862,Gunboat that ran aground in New River and was destroyed to prevent capture.,34°43′04″N 77°25′31″W﻿ / ﻿34.7179°N 77.4254°W﻿ / 34.7179; -77.4254﻿ (CSS E,1862
